Category,Jan-2024,Feb-2024,Mar-2024,Apr-2024,May-2024,Jun-2024,Jul-2024,Aug-2024,Sep-2024,Oct-2024,Nov-2024,Dec-2024
"MEDICAL CLAIMS",,,,,,,,,,,,
"Domestic Medical Facility Claims (Inpatient/Outpatient)",1250000,1180000,1320000,1290000,1410000,1350000,1380000,1420000,1390000,1450000,1480000,1520000
"Non-Domestic Medical Claims (Inpatient/Outpatient)",85000,92000,78000,88000,95000,82000,90000,87000,93000,89000,96000,91000
"Total Hospital Medical Claims",1335000,1272000,1398000,1378000,1505000,1432000,1470000,1507000,1483000,1539000,1576000,1611000
"Non-Hospital Medical Claims",420000,395000,445000,425000,465000,440000,455000,470000,460000,480000,490000,505000
"Total All Medical Claims",1755000,1667000,1843000,1803000,1970000,1872000,1925000,1977000,1943000,2019000,2066000,2116000
"Adjustments",-25000,-22000,-28000,-24000,-30000,-26000,-27000,-29000,-28000,-31000,-32000,-33000
"Total Adjusted Medical Claims",1730000,1645000,1815000,1779000,1940000,1846000,1898000,1948000,1915000,1988000,2034000,2083000
,,,,,,,,,,,,
"PHARMACY CLAIMS",,,,,,,,,,,,
"Total Pharmacy Claims",580000,560000,595000,610000,625000,615000,630000,640000,635000,650000,665000,675000
"Total Pharmacy Rebates",-145000,-140000,-148750,-152500,-156250,-153750,-157500,-160000,-158750,-162500,-166250,-168750
"Net Pharmacy Claims",435000,420000,446250,457500,468750,461250,472500,480000,476250,487500,498750,506250
,,,,,,,,,,,,
"STOP LOSS",,,,,,,,,,,,
"Total Stop Loss Fees",35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000
"Stop Loss Reimbursements",-120000,-85000,-150000,-110000,-180000,-125000,-140000,-160000,-130000,-170000,-190000,-200000
"Net Stop Loss",-85000,-50000,-115000,-75000,-145000,-90000,-105000,-125000,-95000,-135000,-155000,-165000
,,,,,,,,,,,,
"ADMINISTRATIVE COSTS",,,,,,,,,,,,
"Consulting Fees",25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000
"Fixed Costs:",,,,,,,,,,,,
"- TPA/COBRA Admin Fee",18500,18500,18500,18500,18500,18500,18500,18500,18500,18500,18500,18500
"- Anthem Network Fee",12000,12000,12000,12000,12000,12000,12000,12000,12000,12000,12000,12000
"- Keenan Pharmacy Coalition Fee",8500,8500,8500,8500,8500,8500,8500,8500,8500,8500,8500,8500
"- Keenan Pharmacy Management Fee",6500,6500,6500,6500,6500,6500,6500,6500,6500,6500,6500,6500
"- Other Optional Express Scripts Fees",4500,4500,4500,4500,4500,4500,4500,4500,4500,4500,4500,4500
"Total Fixed Costs",50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000
"Total Admin Fees",75000,75000,75000,75000,75000,75000,75000,75000,75000,75000,75000,75000
,,,,,,,,,,,,
"SUMMARY TOTALS",,,,,,,,,,,,
"Total Monthly Claims and Expenses",2155000,2090000,2221250,2236500,2338750,2292250,2340500,2378000,2371250,2415500,2452750,2499250
"Cumulative Claims and Expenses",2155000,4245000,6466250,8702750,11041500,13333750,15674250,18052250,20423500,22839000,25291750,27791000
,,,,,,,,,,,,
"ENROLLMENT METRICS",,,,,,,,,,,,
"Employee Count (Active + COBRA)",1250,1245,1260,1255,1270,1265,1275,1280,1278,1285,1290,1295
"Member Count",3125,3112,3150,3137,3175,3162,3187,3200,3195,3212,3225,3237
,,,,,,,,,,,,
"PER EMPLOYEE PER MONTH (PEPM) METRICS",,,,,,,,,,,,
"Per Employee Per Month Non-Lag Actual",1724.00,1679.12,1762.90,1781.67,1841.54,1811.26,1835.69,1857.81,1855.87,1879.77,1900.58,1929.54
"Per Employee Per Month Non-Lag Cumulative",1724.00,1701.61,1722.88,1738.70,1757.93,1767.45,1774.66,1782.82,1790.22,1797.60,1804.78,1812.08
"Incurred Target PEPM",1750.00,1750.00,1750.00,1750.00,1750.00,1750.00,1750.00,1750.00,1750.00,1750.00,1750.00,1750.00
"PEPM Budget",1800.00,1800.00,1800.00,1800.00,1800.00,1800.00,1800.00,1800.00,1800.00,1800.00,1800.00,1800.00
"PEPM Budget × Enrollment Counts",2250000,2241000,2268000,2259000,2286000,2277000,2295000,2304000,2300400,2313000,2322000,2331000
,,,,,,,,,,,,
"BUDGET ANALYSIS",,,,,,,,,,,,
"Annual Cumulative Budget",2250000,4491000,6759000,9018000,11304000,13581000,15876000,18180000,20480400,22793400,25115400,27446400
"Actual Monthly Difference",95000,151000,46750,22500,-52750,-15250,-45500,-74000,-70850,-102500,-130750,-168250
"Percentage Difference (Monthly)",4.22%,6.74%,2.06%,1.00%,-2.31%,-0.67%,-1.98%,-3.21%,-3.08%,-4.43%,-5.63%,-7.22%
"Cumulative Difference",95000,246000,292750,315250,262500,247250,201750,127750,56900,-45600,-176350,-344600
"Percentage Difference (Cumulative)",4.22%,5.48%,4.33%,3.50%,2.32%,1.82%,1.27%,0.70%,0.28%,-0.20%,-0.70%,-1.26%
